scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006702_88	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006702_76	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006701_58	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_88	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_34	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2	got a bit of seminal vescicle genes	FALSE
E100006695_88	ileum	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006703_44	jejunum	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006701_34	jejunum	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_89	jejunum	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_97	jejunum	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006702_41	stomach (lower)	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006701_51	stomach (lower)	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_74	stomach (lower)	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_36	stomach (lower)	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006701_53	stomach (upper)	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_67	stomach (upper)	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_101	stomach (upper)	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006697_102	stomach (upper)	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0	#1876B2		
E100006700_66	stomach (middle)	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134	#1876B2		
E100006700_100	stomach (middle)	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134	#1876B2		
E100006699_66	stomach (middle)	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134	#1876B2		
E100006698_65	stomach (middle)	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134	#1876B2		
E100006698_4	stomach (middle)	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134	#1876B2		
E100006703_13	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
E100006700_79	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2	Has pancreas genes	FALSE
E100006699_13	colon	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235	#1876B2		
